# theta,S11,S12,S33,S34
1.509709802975095050e+00,1.198980092788757279e-01,-4.192811926042139259e-02,2.799700761524864800e-02,1.087829628614378069e-01
1.518436449235066599e+00,1.166183435013183611e-01,-4.070089017461387543e-02,2.555932445866981179e-02,1.062543952653345336e-01
1.527163095495038370e+00,1.134430925286837866e-01,-3.950024944841006719e-02,2.323025844016796126e-02,1.037758190947577902e-01
1.535889741755009918e+00,1.103717467188173179e-01,-3.832835766453508708e-02,2.100094961816732081e-02,1.013499856321520703e-01
1.544616388014981689e+00,1.073966536437060970e-01,-3.718110256679279385e-02,1.886521538165376877e-02,9.897328161876627062e-02
1.553343034274953238e+00,1.045117863508807782e-01,-3.605798382212939412e-02,1.682440329004088880e-02,9.664095789503157619e-02
1.562069680534925009e+00,1.017182095878168130e-01,-3.496189521944347012e-02,1.487783947956799330e-02,9.435523269451404071e-02
1.570796326794896558e+00,9.901661666430092157e-02,-3.389285099400145967e-02,1.301800484469348845e-02,9.212001181614704048e-02
1.579522973054868329e+00,9.639968413772825873e-02,-3.284603364627406569e-02,1.123927851068642902e-02,8.993172851736383477e-02
1.588249619314839878e+00,9.386111184560953780e-02,-3.182148208983347215e-02,9.541420100753005007e-03,8.778532278781786546e-02
1.596976265574811427e+00,9.140142849616886278e-02,-3.082310396033557248e-02,7.923801488816537009e-03,8.568179948715154426e-02
1.605702911834783198e+00,8.902241110683514758e-02,-2.985125921339457783e-02,6.380900999775236671e-03,8.362521213772890205e-02
1.614429558094754746e+00,8.671856618068206346e-02,-2.890094271252450706e-02,4.908089988874528298e-03,8.161345405888553728e-02
1.623156204354726517e+00,8.448345861258686751e-02,-2.797127137330414001e-02,3.504596499656738307e-03,7.964157557632978168e-02
1.631882850614698066e+00,8.231610424811064419e-02,-2.706606557355304560e-02,2.169270702122860772e-03,7.770883719098398146e-02
1.640609496874669837e+00,8.021885712298504334e-02,-2.618687779560868040e-02,8.982652263471169185e-04,7.581889994598234317e-02
1.649336143134641386e+00,7.818857304612034098e-02,-2.532905152092869080e-02,-3.120057342713145054e-04,7.397158073517436094e-02
1.658062789394613157e+00,7.621892651066877744e-02,-2.448974188048302220e-02,-1.462608281622410078e-03,7.216258087181039171e-02
1.666789435654584706e+00,7.430762272240462596e-02,-2.367137418814863753e-02,-2.555203245939170753e-03,7.039005451817618997e-02
1.675516081914556477e+00,7.245628388373895334e-02,-2.287740866074714635e-02,-3.592818869487993116e-03,6.865587301739881076e-02
